colorNo,colorName
1,흰색
13,은색
24,라이트 그레이
3,회색
25,다크 그레이
2,검정색
51,딥레드
11,빨간색
50,라즈베리
47,네온 핑크
10,분홍색
45,라이트 핑크
48,페일 핑크
55,피치
52,코랄
54,라이트 오렌지
53,네온 오렌지
46,오렌지 핑크
12,주황색
23,아이보리
44,라이트 옐로우
9,노란색
43,머스타드
14,금색
33,네온 그린
31,라이트 그린
32,민트
6,녹색
34,올리브 그린
30,카키
35,다크 그린
37,스카이 블루
38,네온 블루
7,파란색
36,네이비
41,자주
39,라벤더
8,보라색
40,다크 바이올렛
49,버건디
4,갈색
56,로즈골드
27,레드 브라운
28,카키 베이지
26,카멜
29,샌드
5,베이지색
16,데님
57,연청
58,중청
59,진청
60,흑청
19,스트라이프
20,도트
18,체크
61,글렌 체크
65,타탄 체크
62,깅엄 체크
63,옹브레 체크
64,윈도우 페인
69,헤링본
66,하운드 투스
71,페이즐리
67,플라워
70,트로피컬
17,카모
21,애니멀
68,패치워크
22,기타패턴
15,기타색상
